date,product_id,product_name,category,current_price,competitor_price,cost,day_of_week,month,is_weekend,is_festival,inventory_level,customer_segment,demand,revenue,profit,price_difference,discount_percentage,price_ratio,profit_margin,rolling_avg_demand,inventory_level_encoded,customer_segment_encoded,category_encoded
2025-08-31,P001,Wireless Headphones,Electronics,2284,2379,1500,6,8,1,0,High,Budget,33,75372,25872,95,3.99,0.96,34.33,47.57,0,0,1
2025-09-01,P001,Wireless Headphones,Electronics,2349,2178,1500,0,9,0,0,Low,Standard,31,72819,26319,-171,-7.85,1.079,36.14,44.86,1,2,1
2025-09-03,P001,Wireless Headphones,Electronics,2625,2245,1500,2,9,0,0,Medium,Standard,13,34125,14625,-380,-16.93,1.169,42.86,39.86,2,2,1
2025-09-03,P001,Wireless Headphones,Electronics,2534,2194,1500,2,9,0,0,Low,Standard,13,32942,13442,-340,-15.5,1.155,40.81,37.71,1,2,1
2025-09-03,P001,Wireless Headphones,Electronics,2722,2589,1500,2,9,0,0,High,Standard,31,84382,37882,-133,-5.14,1.051,44.89,34.43,0,2,1
2025-09-06,P001,Wireless Headphones,Electronics,2495,2254,1500,5,9,1,0,Medium,Standard,5,12475,4975,-241,-10.69,1.107,39.88,27.0,2,2,1
2025-09-07,P001,Wireless Headphones,Electronics,2470,2134,1500,6,9,1,0,Low,Standard,0,0,0,-336,-15.75,1.157,39.27,18.0,1,2,1
2025-09-08,P001,Wireless Headphones,Electronics,2638,2442,1500,0,9,0,0,High,Standard,11,29018,12518,-196,-8.03,1.08,43.14,14.86,0,2,1
2025-09-08,P001,Wireless Headphones,Electronics,2596,2300,1500,0,9,0,0,Medium,Standard,0,0,0,-296,-12.87,1.129,42.22,10.43,2,2,1
2025-09-10,P001,Wireless Headphones,Electronics,2254,1964,1500,2,9,0,0,Medium,Standard,12,27048,9048,-290,-14.77,1.148,33.45,10.29,2,2,1
2025-09-11,P001,Wireless Headphones,Electronics,2444,2168,1500,3,9,0,0,High,Standard,21,51324,19824,-276,-12.73,1.127,38.63,11.43,0,2,1
2025-09-13,P001,Wireless Headphones,Electronics,2469,2568,1500,5,9,1,0,High,Budget,24,59256,23256,99,3.86,0.961,39.25,10.43,0,0,1
2025-09-14,P001,Wireless Headphones,Electronics,2477,2273,1500,6,9,1,0,Medium,Budget,13,32201,12701,-204,-8.97,1.09,39.44,11.57,2,0,1
2025-09-14,P001,Wireless Headphones,Electronics,2559,2593,1500,6,9,1,0,Low,Budget,43,110037,45537,34,1.31,0.987,41.38,17.71,1,0,1
2025-09-15,P001,Wireless Headphones,Electronics,2744,2439,1500,0,9,0,0,High,Standard,0,0,0,-305,-12.51,1.125,45.34,16.14,0,2,1
2025-09-15,P001,Wireless Headphones,Electronics,2656,2977,1500,0,9,0,0,Low,Premium,85,225760,98260,321,10.78,0.892,43.52,28.29,1,1,1
2025-09-17,P001,Wireless Headphones,Electronics,2467,2563,1500,2,9,0,0,Medium,Standard,46,113482,44482,96,3.75,0.963,39.2,33.14,2,2,1
2025-09-17,P001,Wireless Headphones,Electronics,2438,2090,1500,2,9,0,0,High,Premium,18,43884,16884,-348,-16.65,1.167,38.47,32.71,0,1,1
2025-09-18,P001,Wireless Headphones,Electronics,2671,2910,1500,3,9,0,0,Medium,Budget,52,138892,60892,239,8.21,0.918,43.84,36.71,2,0,1
2025-09-18,P001,Wireless Headphones,Electronics,2642,3017,1500,3,9,0,0,Low,Premium,72,190224,82224,375,12.43,0.876,43.22,45.14,1,1,1
2025-09-18,P001,Wireless Headphones,Electronics,2667,2668,1500,3,9,0,0,Low,Premium,42,112014,49014,1,0.04,1.0,43.76,45.0,1,1,1
2025-09-19,P001,Wireless Headphones,Electronics,2307,2617,1500,4,9,0,0,Medium,Premium,52,119964,41964,310,11.85,0.882,34.98,52.43,2,1,1
2025-09-19,P001,Wireless Headphones,Electronics,2672,2987,1500,4,9,0,0,Low,Premium,66,176352,77352,315,10.55,0.895,43.86,49.71,1,1,1
2025-09-19,P001,Wireless Headphones,Electronics,2361,2402,1500,4,9,0,0,High,Standard,31,73191,26691,41,1.71,0.983,36.47,47.57,0,2,1
2025-09-20,P001,Wireless Headphones,Electronics,2491,2703,1500,5,9,1,0,Medium,Standard,80,199280,79280,212,7.84,0.922,39.78,56.43,2,2,1
2025-09-22,P001,Wireless Headphones,Electronics,2299,1977,1500,0,9,0,0,Medium,Standard,14,32186,11186,-322,-16.29,1.163,34.75,51.0,2,2,1
2025-09-23,P001,Wireless Headphones,Electronics,2614,2344,1500,1,9,0,0,Medium,Premium,20,52280,22280,-270,-11.52,1.115,42.62,43.57,2,1,1
2025-09-23,P001,Wireless Headphones,Electronics,2342,2647,1500,1,9,0,0,High,Standard,62,145204,52204,305,11.52,0.885,35.95,46.43,0,2,1
2025-09-24,P001,Wireless Headphones,Electronics,2506,2280,1500,2,9,0,0,Medium,Standard,15,37590,15090,-226,-9.91,1.099,40.14,41.14,2,2,1
2025-09-28,P001,Wireless Headphones,Electronics,2312,2005,1500,6,9,1,0,Medium,Budget,7,16184,5684,-307,-15.31,1.153,35.12,32.71,2,0,1
2025-09-29,P001,Wireless Headphones,Electronics,2379,2558,1500,0,9,0,0,Medium,Budget,46,109434,40434,179,7.0,0.93,36.95,34.86,2,0,1
2025-09-30,P001,Wireless Headphones,Electronics,2575,2792,1500,1,9,0,0,High,Standard,40,103000,43000,217,7.77,0.922,41.75,29.14,0,2,1
2025-09-30,P001,Wireless Headphones,Electronics,2665,2908,1500,1,9,0,0,High,Budget,50,133250,58250,243,8.36,0.916,43.71,34.29,0,0,1
2025-10-01,P001,Wireless Headphones,Electronics,2339,1997,1500,2,10,0,0,High,Premium,5,11695,4195,-342,-17.13,1.171,35.87,32.14,0,1,1
2025-10-01,P001,Wireless Headphones,Electronics,2666,3035,1500,2,10,0,0,High,Standard,84,223944,97944,369,12.16,0.878,43.74,35.29,0,2,1
2025-10-02,P001,Wireless Headphones,Electronics,2516,2288,1500,3,10,0,1,Medium,Budget,13,32708,13208,-228,-9.97,1.1,40.38,35.0,2,0,1
2025-10-02,P001,Wireless Headphones,Electronics,2387,2606,1500,3,10,0,1,High,Budget,78,186186,69186,219,8.4,0.916,37.16,45.14,0,0,1
2025-10-06,P001,Wireless Headphones,Electronics,2463,2197,1500,0,10,0,0,Medium,Budget,0,0,0,-266,-12.11,1.121,39.1,38.57,2,0,1
2025-10-08,P001,Wireless Headphones,Electronics,2411,2335,1500,2,10,0,0,Medium,Standard,55,132605,50105,-76,-3.25,1.033,37.79,40.71,2,2,1
2025-10-10,P001,Wireless Headphones,Electronics,2375,2722,1500,4,10,0,0,Medium,Standard,63,149625,55125,347,12.75,0.873,36.84,42.57,2,2,1
2025-10-10,P001,Wireless Headphones,Electronics,2550,2465,1500,4,10,0,0,Medium,Standard,34,86700,35700,-85,-3.45,1.034,41.18,46.71,2,2,1
2025-10-10,P001,Wireless Headphones,Electronics,2530,2485,1500,4,10,0,0,Medium,Premium,32,80960,32960,-45,-1.81,1.018,40.71,39.29,2,1,1
2025-10-10,P001,Wireless Headphones,Electronics,2746,2701,1500,4,10,0,0,Medium,Standard,45,123570,56070,-45,-1.67,1.017,45.38,43.86,2,2,1
2025-10-11,P001,Wireless Headphones,Electronics,2575,2337,1500,5,10,1,0,Medium,Standard,29,74675,31175,-238,-10.18,1.102,41.75,36.86,2,2,1
2025-10-12,P001,Wireless Headphones,Electronics,2344,2316,1500,6,10,1,0,Medium,Budget,37,86728,31228,-28,-1.21,1.012,36.01,42.14,2,0,1
2025-10-13,P001,Wireless Headphones,Electronics,2383,2316,1500,0,10,0,0,High,Budget,11,26213,9713,-67,-2.89,1.029,37.05,35.86,0,0,1
2025-10-14,P001,Wireless Headphones,Electronics,2537,2820,1500,1,10,0,0,High,Standard,45,114165,46665,283,10.04,0.9,40.88,33.29,0,2,1
2025-10-16,P001,Wireless Headphones,Electronics,2587,2931,1500,3,10,0,0,Medium,Standard,68,175916,73916,344,11.74,0.883,42.02,38.14,2,2,1
2025-10-18,P001,Wireless Headphones,Electronics,2438,2411,1500,5,10,1,0,Low,Standard,61,148718,57218,-27,-1.12,1.011,38.47,42.29,1,2,1
2025-10-18,P001,Wireless Headphones,Electronics,2610,2945,1500,5,10,1,0,Medium,Budget,46,120060,51060,335,11.38,0.886,42.53,42.43,2,0,1
2025-10-19,P001,Wireless Headphones,Electronics,2666,2980,1500,6,10,1,0,High,Budget,68,181288,79288,314,10.54,0.895,43.74,48.0,0,0,1
2025-10-19,P001,Wireless Headphones,Electronics,2500,2819,1500,6,10,1,0,High,Standard,80,200000,80000,319,11.32,0.887,40.0,54.14,0,2,1
2025-10-20,P001,Wireless Headphones,Electronics,2560,2608,1500,0,10,0,1,Medium,Standard,56,143360,59360,48,1.84,0.982,41.41,60.57,2,2,1
2025-10-23,P001,Wireless Headphones,Electronics,2343,2343,1500,3,10,0,1,High,Budget,52,121836,43836,0,0.0,1.0,35.98,61.57,0,0,1
2025-10-23,P001,Wireless Headphones,Electronics,2531,2607,1500,3,10,0,1,Low,Standard,70,177170,72170,76,2.92,0.971,40.73,61.86,1,2,1
2025-10-24,P001,Wireless Headphones,Electronics,2329,2607,1500,4,10,0,1,Medium,Budget,78,181662,64662,278,10.66,0.893,35.59,64.29,2,0,1
2025-10-24,P001,Wireless Headphones,Electronics,2548,2728,1500,4,10,0,1,High,Premium,83,211484,86984,180,6.6,0.934,41.13,69.57,0,1,1
2025-10-25,P001,Wireless Headphones,Electronics,2287,2295,1500,5,10,1,0,Medium,Standard,35,80045,27545,8,0.35,0.997,34.41,64.86,2,2,1
2025-10-25,P001,Wireless Headphones,Electronics,2726,2920,1500,5,10,1,0,Medium,Standard,46,125396,56396,194,6.64,0.934,44.97,60.0,2,2,1
2025-10-26,P001,Wireless Headphones,Electronics,2576,2512,1500,6,10,1,0,High,Premium,34,87584,36584,-64,-2.55,1.025,41.77,56.86,0,1,1
2025-10-27,P001,Wireless Headphones,Electronics,2583,2886,1500,0,10,0,0,Medium,Standard,70,180810,75810,303,10.5,0.895,41.93,59.43,2,2,1
2025-10-27,P001,Wireless Headphones,Electronics,2731,3071,1500,0,10,0,0,Medium,Standard,57,155667,70167,340,11.07,0.889,45.08,57.57,2,2,1
2025-10-27,P001,Wireless Headphones,Electronics,2457,2813,1500,0,10,0,0,Medium,Standard,54,132678,51678,356,12.66,0.873,38.95,54.14,2,2,1
2025-10-27,P001,Wireless Headphones,Electronics,2382,2271,1500,0,10,0,0,Medium,Premium,49,116718,43218,-111,-4.89,1.049,37.03,49.29,2,1,1
2025-10-27,P001,Wireless Headphones,Electronics,2427,2748,1500,0,10,0,0,High,Budget,69,167463,63963,321,11.68,0.883,38.2,54.14,0,0,1
2025-10-27,P001,Wireless Headphones,Electronics,2361,2394,1500,0,10,0,0,High,Standard,14,33054,12054,33,1.38,0.986,36.47,49.57,0,2,1
2025-10-28,P001,Wireless Headphones,Electronics,2518,2640,1500,1,10,0,0,High,Standard,25,62950,25450,122,4.62,0.954,40.43,48.29,0,2,1
2025-10-28,P001,Wireless Headphones,Electronics,2653,2563,1500,1,10,0,0,High,Standard,15,39795,17295,-90,-3.51,1.035,43.46,40.43,0,2,1
2025-10-29,P001,Wireless Headphones,Electronics,2356,2254,1500,2,10,0,0,Medium,Budget,10,23560,8560,-102,-4.53,1.045,36.33,33.71,2,0,1
2025-10-29,P001,Wireless Headphones,Electronics,2710,2394,1500,2,10,0,0,Medium,Standard,5,13550,6050,-316,-13.2,1.132,44.65,26.71,2,2,1
2025-11-01,P001,Wireless Headphones,Electronics,2304,1979,1500,5,11,1,1,High,Premium,47,108288,37788,-325,-16.42,1.164,34.9,26.43,0,1,1
2025-11-02,P001,Wireless Headphones,Electronics,2298,2164,1500,6,11,1,0,Medium,Budget,36,82728,28728,-134,-6.19,1.062,34.73,21.71,2,0,1
2025-11-02,P001,Wireless Headphones,Electronics,2698,3072,1500,6,11,1,0,Medium,Standard,82,221236,98236,374,12.17,0.878,44.4,31.43,2,2,1
2025-11-03,P001,Wireless Headphones,Electronics,2643,2349,1500,0,11,0,0,Low,Budget,28,74004,32004,-294,-12.52,1.125,43.25,31.86,1,0,1
2025-11-04,P001,Wireless Headphones,Electronics,2740,2353,1500,1,11,0,0,High,Standard,0,0,0,-387,-16.45,1.164,45.26,29.71,0,2,1
2025-11-04,P001,Wireless Headphones,Electronics,2266,2145,1500,1,11,0,0,Medium,Standard,25,56650,19150,-121,-5.64,1.056,33.8,31.86,2,2,1
2025-11-04,P001,Wireless Headphones,Electronics,2565,2460,1500,1,11,0,0,High,Standard,43,110295,45795,-105,-4.27,1.043,41.52,37.29,0,2,1
2025-11-04,P001,Wireless Headphones,Electronics,2479,2723,1500,1,11,0,0,High,Standard,80,198320,78320,244,8.96,0.91,39.49,42.0,0,2,1
2025-11-06,P001,Wireless Headphones,Electronics,2462,2561,1500,3,11,0,0,High,Standard,46,113252,44252,99,3.87,0.961,39.07,43.43,0,2,1
2025-11-07,P001,Wireless Headphones,Electronics,2673,2948,1500,4,11,0,0,Medium,Standard,80,213840,93840,275,9.33,0.907,43.88,43.14,2,2,1
2025-11-07,P001,Wireless Headphones,Electronics,2669,2299,1500,4,11,0,0,High,Standard,0,0,0,-370,-16.09,1.161,43.8,39.14,0,2,1
2025-11-08,P001,Wireless Headphones,Electronics,2613,2670,1500,5,11,1,0,Medium,Premium,83,216879,92379,57,2.13,0.979,42.59,51.0,2,1,1
2025-11-09,P001,Wireless Headphones,Electronics,2712,2575,1500,6,11,1,0,Medium,Budget,55,149160,66660,-137,-5.32,1.053,44.69,55.29,2,0,1
2025-11-11,P001,Wireless Headphones,Electronics,2300,2457,1500,1,11,0,0,Low,Standard,76,174800,60800,157,6.39,0.936,34.78,60.0,1,2,1
2025-11-12,P001,Wireless Headphones,Electronics,2274,2076,1500,2,11,0,0,Low,Budget,21,47754,16254,-198,-9.54,1.095,34.04,51.57,1,0,1
2025-11-13,P001,Wireless Headphones,Electronics,2343,2391,1500,3,11,0,0,High,Standard,64,149952,53952,48,2.01,0.98,35.98,54.14,0,2,1
2025-11-14,P001,Wireless Headphones,Electronics,2338,2145,1500,4,11,0,0,Low,Standard,14,32732,11732,-193,-9.0,1.09,35.84,44.71,1,2,1
2025-11-14,P001,Wireless Headphones,Electronics,2704,2625,1500,4,11,0,0,Medium,Standard,35,94640,42140,-79,-3.01,1.03,44.53,49.71,2,2,1
2025-11-14,P001,Wireless Headphones,Electronics,2463,2493,1500,4,11,0,0,Medium,Standard,41,100983,39483,30,1.2,0.988,39.1,43.71,2,2,1
2025-11-14,P001,Wireless Headphones,Electronics,2702,2982,1500,4,11,0,0,Medium,Budget,53,143206,63706,280,9.39,0.906,44.49,43.43,2,0,1
2025-11-15,P001,Wireless Headphones,Electronics,2541,2261,1500,5,11,1,0,Medium,Standard,44,111804,45804,-280,-12.38,1.124,40.97,38.86,2,2,1
2025-11-16,P001,Wireless Headphones,Electronics,2407,2395,1500,6,11,1,0,Medium,Budget,54,129978,48978,-12,-0.5,1.005,37.68,43.57,2,0,1
2025-11-16,P001,Wireless Headphones,Electronics,2324,2329,1500,6,11,1,0,Medium,Premium,86,199864,70864,5,0.21,0.998,35.46,46.71,2,1,1
2025-11-16,P001,Wireless Headphones,Electronics,2679,2636,1500,6,11,1,0,High,Standard,46,123234,54234,-43,-1.63,1.016,44.01,51.29,0,2,1
2025-11-17,P001,Wireless Headphones,Electronics,2304,2251,1500,0,11,0,0,Low,Budget,60,138240,48240,-53,-2.35,1.024,34.9,54.86,1,0,1
2025-11-20,P001,Wireless Headphones,Electronics,2455,2385,1500,3,11,0,0,Medium,Budget,26,63830,24830,-70,-2.94,1.029,38.9,52.71,2,0,1
2025-11-22,P001,Wireless Headphones,Electronics,2465,2459,1500,5,11,1,0,Medium,Standard,62,152830,59830,-6,-0.24,1.002,39.15,54.0,2,2,1
2025-11-23,P001,Wireless Headphones,Electronics,2305,2257,1500,6,11,1,0,Medium,Budget,27,62235,21735,-48,-2.13,1.021,34.92,51.57,2,0,1
